 (8.472255872111002228e-02+0.000000000000000000e+00j), (-1.686769157890394277e-01+0.000000000000000000e+00j), (1.797181566164224309e-01+0.000000000000000000e+00j), (6.603208712877832731e-01+0.000000000000000000e+00j), (1.422804708101477633e+00+0.000000000000000000e+00j), (6.183911968503108536e-01+0.000000000000000000e+00j), (6.378584762455995483e-01+0.000000000000000000e+00j), (4.930339104854789545e-01+0.000000000000000000e+00j), (3.026232660277751729e-01+0.000000000000000000e+00j), (7.347606679940028584e-01+0.000000000000000000e+00j), (7.578939770834738354e-01+0.000000000000000000e+00j), (3.115713389219590401e-01+0.000000000000000000e+00j), (1.019327194776543433e+00+0.000000000000000000e+00j), (2.331951015512813974e-01+0.000000000000000000e+00j)
 (-1.835067610559751039e-01+3.809877085955507697e-02j), (5.914391384327284673e-02+2.668674266686594798e-01j), (-1.181603353612591667e-01+1.595222852869517260e-01j), (-8.477947129201568455e-02+2.689382330441173474e-01j), (-6.177686734406947489e-01-3.846341213934350578e-01j), (-9.454394531189211359e-02-1.535263836561264750e-01j), (-2.974945080308782908e-01-1.453659938783216921e-01j), (-4.198460587696170587e-01-7.175894194027629402e-02j), (-1.299163870266955290e-01+4.302135920627047083e-01j), (-3.914363812442104296e-01-3.665763907842846739e-03j), (-4.201608660123211658e-01+6.844835519902656151e-02j), (4.025349078309468087e-01+2.495453443582458797e-01j), (-3.554434987085326458e-01-4.432287572969405565e-01j), (-7.117182842221565775e-02-1.789423781981770711e-01j)
 (7.288026472655552424e-02-2.880539559382045423e-01j), (1.944355571433163676e-01-3.398121364834271185e-01j), (1.104940264829729485e-01-1.939874220742456856e-01j), (-1.779252654587180626e-01+2.715122788396532316e-01j), (-4.941198800183019824e-01+3.875368791201360130e-01j), (-3.142430827959430961e-01+1.668897654764984750e-01j), (-2.452085366428780333e-01+1.468289206036383354e-01j), (2.985209368894285453e-01-1.696572349933924140e-01j), (1.155925893400465698e-01-4.219225993736891445e-01j), (-5.167133231890137790e-02-1.836658384643927999e-01j), (2.393158432778358657e-01+6.251865894472091734e-02j), (-9.534698840385613661e-01+3.256599547483646218e-02j), (-5.722498748786172262e-01+2.541078103518249476e-01j), (-6.479608457823764212e-02+7.411554409976145452e-02j)
 (2.881614098063108864e-01+1.768791452653002694e-01j), (-2.048696216545809468e-01-3.071061519975589599e-02j), (-1.339853708661295217e-01+1.262826201893581524e-01j), (-2.666018509442718010e-01-3.318389559445219517e-01j), (5.647870485837507282e-01+1.104738850581528098e-01j), (9.405240968244697741e-02+1.669710538121949375e-03j), (2.436113672250922180e-01-7.594584598114093033e-02j), (-4.522140406246193400e-01+8.256868090269423033e-02j), (-3.273573864704447112e-01+2.594245513402798076e-01j), (2.082388969083463492e-01+2.505883709716386631e-01j), (-3.941335758629266328e-01-1.891557897503024777e-01j), (5.696587667168827585e-01+3.546982053627016906e-01j), (6.535229910424324995e-01+3.680305881550316460e-01j), (1.569693199371729672e-02-1.522981251397187083e-02j)
 (-2.110433098894737292e-01+2.345213877899446075e-01j), (-2.113514748531821752e-01+2.891708858171807700e-02j), (1.692970705901730988e-01+5.817423267287131355e-02j), (1.436136242204639202e-01-5.108117047130905641e-02j), (-1.179259376895784722e-01-3.532780304671006011e-01j), (-3.925748308301088563e-02-1.598896595869314929e-01j), (-3.182903064887740441e-02-1.059131574789088648e-01j), (7.958951765662187761e-01+1.821812791749872762e-01j), (2.150657272823472410e-01-7.489259740866585635e-02j), (3.353184022437588618e-02-2.945122362724214571e-01j), (-3.927489077447442190e-02+2.134921992291529402e-01j), (-5.377993185424216893e-01-8.964557433324430447e-01j), (-2.712036138174145697e-02-7.918900969648801080e-01j), (-1.649286022282868414e-02+3.618036216309587771e-02j)
 (-2.095637431097601144e-01-1.819466997524374074e-01j), (4.380172501044952149e-01+2.817479186548929038e-01j), (-1.084734442666965976e-01-3.748451989851764310e-01j), (8.513093936606264123e-02+5.491807990617759289e-03j), (-1.999053386606786664e-01+6.920750787306922946e-02j), (-1.020072532361209275e-02+1.015672001410697911e-01j), (-4.070059419313244720e-02+3.131252256362389297e-02j), (-9.272228344002616529e-01-4.311713009103650407e-01j), (-8.998589796530531704e-02-7.819738993821254147e-02j), (-2.702395588189050457e-01+5.293334181775150027e-01j), (5.627116645120875393e-01-2.900280360221269560e-01j), (3.479702792517838095e-01+4.244488921769120071e-01j), (-7.251231786598114626e-01+5.763584987984483599e-01j), (3.420863521482340325e-02-2.556512730224737989e-02j)
 (1.644946759669282388e-01-2.398859917304129730e-01j), (1.717839312670723650e-01-3.557165434899834527e-02j), (-3.423976792445959649e-01+4.869260766278245556e-01j), (-1.089514970500760072e-02+1.001075169521843111e-01j), (3.827544687291070113e-01+4.741083834968774086e-02j), (-4.735265412144686048e-02+1.022060110362321556e-01j), (2.319668606229342012e-01-1.140815512545171884e-01j), (8.477777587435155748e-01+9.615321558651155343e-01j), (3.418663686166226873e-03-8.702670760677240491e-02j), (3.743426974539042495e-01-3.808329572538101115e-01j), (-6.524440562548305955e-01+4.515562585573604931e-02j), (3.897479431408568118e-02-3.155199455350584103e-01j), (9.919527240227691278e-01+1.281132838170270238e-01j), (-5.293271338077035204e-02+4.854146654865876959e-04j)
 (2.649854214701466981e-01+2.191019005676522746e-01j), (-5.191799531983187777e-01-1.105225551304667431e-01j), (6.214469510451687828e-01-6.275307045178828147e-02j), (-1.572798883865396680e-01-1.085440281070655655e-01j), (-5.041666427192239563e-01+1.799564501187650989e-01j), (1.412104368157909573e-01-1.462584373691719619e-01j), (-1.801200349596090433e-01+1.571162507809579223e-01j), (-6.154548736868697967e-01-1.455110248699976294e+00j), (9.324312572528672960e-02+8.569905047021074418e-02j), (-5.025553397517157350e-01+1.921558729035408586e-01j), (7.239883628247953951e-01+5.197045317880530924e-01j), (3.711272777586394067e-01+6.043855887101483582e-01j), (-6.926373168183144191e-01-6.058757300771810961e-01j), (1.626167519382987203e-02+5.126165185329625840e-02j)
 (-3.222717535653137899e-01+2.126485307458885476e-01j), (-9.123692808022537681e-02-1.375603588502243846e-01j), (-3.419554602184208258e-01-4.894959231813839073e-01j), (4.107683923997229036e-01+9.886798254855096169e-02j), (2.329925903821397082e-01-2.894396851949589955e-01j), (2.908181074974444114e-01+4.516422878143265540e-02j), (9.765653211138509981e-02+2.270483512123319947e-01j), (1.928043498106176146e-01+1.545105827990424174e+00j), (9.630757062303023364e-02+1.515586996472979842e-01j), (1.239318529646002767e-02-1.268781034260328955e-01j), (-5.224601819977925388e-01-8.371518107644233542e-01j), (-6.527917743506475023e-01-5.343730613479561464e-01j), (3.256235339340214363e-01+3.925678415723194981e-01j), (4.816911143161325959e-02+2.284910113059183349e-03j)
 (-9.000912787624663902e-02-4.020806577584457031e-01j), (1.048967941490843853e-01+1.414115798678708402e-01j), (7.765389061578742425e-02+4.721334320661068062e-01j), (-2.749107142061265052e-01+3.135718032563910435e-02j), (4.709551184680952352e-01+1.883671983209560807e-01j), (-2.815990247847662276e-01-1.022884705263183147e-01j), (2.153131390940880296e-01-8.690437523153179966e-02j), (2.523325899712721698e-01-1.462133640749442964e+00j), (-2.387805690352846899e-01-2.366862121848309908e-01j), (2.685780869762549039e-01-1.034294889285553298e-01j), (-1.250729912012523704e-01+8.185281243996274103e-01j), (2.407001785878775113e-01+7.062085206249829605e-01j), (-2.790739809633150936e-01-1.949869557907248085e-02j), (2.353487475983747843e-02-6.143617108936653276e-02j)
