 (4.444165150148776666e-01+0.000000000000000000e+00j), (1.922070003818542872e-01+0.000000000000000000e+00j), (5.903540169540180127e-01+0.000000000000000000e+00j), (7.170854294582619248e-01+0.000000000000000000e+00j), (2.803593846096117392e-01+0.000000000000000000e+00j), (3.013469644909556044e-01+0.000000000000000000e+00j), (3.716611472851325537e-01+0.000000000000000000e+00j), (3.891096899723374067e-03+0.000000000000000000e+00j)
 (-1.605752379051888501e-01+3.751192621580162756e-01j), (2.616144485686185406e-01+4.934954478621170204e-02j), (-3.352812888337361463e-01-1.751468846388917755e-01j), (-4.681278585876643694e-01+2.186390253101321290e-01j), (-3.047864481953092008e-01-1.650971595596673613e-01j), (-2.054840037349116022e-01+9.914226605582965313e-01j), (-8.035588011278751996e-02-1.563022083795385653e-01j), (3.259131339780740183e-03-2.024722758327370149e-03j)
 (-2.535723600735548811e-01-1.522632774905319508e-01j), (-5.228751935273135976e-01-4.132480965482110968e-01j), (4.521518092947218043e-02+2.033777506714111727e-01j), (-4.836945262914955912e-02-3.552915123153144172e-01j), (2.907141183079606783e-01-1.853149532730497262e-01j), (8.067651506876399869e-02-1.266377055399395823e+00j), (8.474478259852924467e-02-9.950024291878692417e-02j), (1.619129153254503890e-03-3.301647678584074784e-03j)
 (2.450946859691412183e-02-2.039910724411601040e-01j), (-1.604078333282599883e-02+7.190734577473449907e-01j), (2.264035764111679838e-02-1.224943248729225831e-01j), (5.571179076319906498e-01+4.686926251401294513e-02j), (-1.371867653662797171e-01-3.633042656667727632e-01j), (9.267431016125349252e-02+6.426766331112350183e-01j), (-1.164268022993121821e-01-1.352138917097413240e-01j), (-3.743011271200437189e-04-3.401228518487885068e-03j)
 (2.056472709499317930e-01-5.278910930500972654e-02j), (5.265581726081076663e-01-4.646501649669034228e-01j), (-7.322239551865702967e-02+7.758114837570331823e-02j), (-3.443105897082142652e-01+6.508065264260440852e-01j), (-3.786865303733929489e-01+3.417034075837650509e-01j), (-1.880389661194620254e-01+6.177033090966129736e-01j), (-2.779712817931953572e-01-5.647838077826027037e-02j), (-1.955183684555564239e-03-2.386841806505417794e-03j)
 (3.009651673581477394e-02+1.554615946070602439e-01j), (-5.342282653362555589e-01+1.056970213304297135e-01j), (1.874433192313521290e-01+5.619558190629916905e-02j), (-4.254900943937651725e-01-3.829433788184715137e-01j), (7.482402849430034308e-01+6.914962780702016421e-01j), (-1.053244122246499853e-01-1.639631849893051108e+00j), (-1.605856803934198052e-01+3.923327287582870082e-01j), (-2.576401951816736837e-03-7.688145678606760590e-04j)
 (-5.595865163563788075e-02-2.019057686783322370e-03j), (2.254182382532138873e-01+1.025327089383003681e-01j), (-2.959262842686454786e-01-2.157975719672423631e-01j), (2.015081653892820679e-01-5.542593919488361109e-01j), (2.475534598009531684e-01-5.962496303263082886e-01j), (3.879041131879358284e-01+1.121563867134066195e+00j), (3.484631066629330642e-01+2.763233897555239515e-01j), (-2.133176971122861462e-03+7.374686900435641936e-04j)
 (-5.365098164884223031e-03-1.040081017977036518e-02j), (-2.055277034678346104e-01-2.860658482007751857e-01j), (7.016216301088545881e-02+9.747393521094839530e-02j), (2.510286920205965222e-01+1.631796808012914157e-01j), (-1.344344150438913310e+00-7.675919568932403070e-02j), (-2.172939652064816429e-01+6.632479947838808565e-01j), (3.710905658014654329e-01-2.649149689164855825e-01j), (-9.813473139013311787e-04+1.535292255004958072e-03j)
 (4.478281287566735630e-02+2.891281964512434216e-03j), (2.979516287575739164e-01+2.216123936407939643e-01j), (2.797166853671023690e-01+1.340425991668040273e-01j), (1.647831924332009423e-01+3.314204986967894673e-01j), (5.854662070391702944e-01+5.528407059818606362e-01j), (-1.506883566333845903e-01-1.601202051917780089e+00j), (-1.166313448243569140e-01-3.504320820287174509e-01j), (2.518920842503270720e-04+1.402711777432761025e-03j)
 (-5.499930441402279407e-02+6.441261553893200265e-02j), (-7.993484389590266304e-02-3.083701052590041847e-02j), (-2.042307205520187685e-01-3.985570491882493155e-02j), (8.842516833808221344e-02+2.431240701870509557e-01j), (6.860227228552080447e-01-1.018764386158722113e+00j), (3.597479109601378622e-01+6.794731586068364360e-01j), (-2.839728115321037971e-01-8.918595390586425697e-02j), (9.714627628049281403e-04+5.660988479474219270e-04j)
