 (2.122777463293080980e-01+0.000000000000000000e+00j), (1.123463318430933278e+00+0.000000000000000000e+00j), (7.844827850827408300e-01+0.000000000000000000e+00j), (6.396678534878414979e-01+0.000000000000000000e+00j), (8.185237910646865345e-01+0.000000000000000000e+00j), (5.685914398897329303e-01+0.000000000000000000e+00j), (2.402673574304953208e-01+0.000000000000000000e+00j), (2.871622609871936627e-01+0.000000000000000000e+00j), (-5.338434730556468333e-02+0.000000000000000000e+00j), (2.521245485447454193e-01+0.000000000000000000e+00j), (2.536736384460217542e-01+0.000000000000000000e+00j), (1.450780055725562623e-01+0.000000000000000000e+00j)
 (3.410385581604748195e-02+1.193068773239143454e-01j), (-7.262907273758014703e-01-3.772047031952913687e-01j), (-4.431563173047758930e-01-2.114235487185303630e-02j), (-1.396039199088785487e-01+1.295394187442952538e-01j), (-1.343367796035505046e-01+1.992350421997914345e-01j), (-2.496874511713281786e-01-3.142900389047157406e-01j), (-1.776687653629031027e-01+2.211785951677027184e-01j), (-1.179591991881286384e-01-5.986651735170142596e-02j), (1.071599205931008103e-01-7.608067259897230428e-02j), (-2.012664363734341655e-01+6.322927158816656068e-02j), (-1.164344900464946431e-01+4.491056135742881039e-02j), (-5.577129775632020531e-02-1.175574209363283579e-01j)
 (5.364334695341391873e-02+1.457382063581159348e-01j), (6.347678269544607121e-02+5.940395182116894324e-01j), (1.548479957388172040e-02+1.551132339937512095e-01j), (-3.649465766806125888e-01+7.841914637938988270e-03j), (-6.584190950591501945e-01-2.875841172087396647e-01j), (3.934606838041640638e-03-2.311218114194372730e-01j), (1.247811149522089214e-01-1.012405816193036601e-01j), (-2.341124578210862506e-02+1.036040094602919473e-02j), (-1.004192616622921197e-01+7.249143116854678270e-02j), (8.536198436673776702e-02-7.118246590454285760e-02j), (2.180286736006839532e-02+4.584916710886868980e-04j), (-5.139450615139193324e-02+8.256966211998925664e-02j)
 (-2.529206091852280736e-01+1.437286445930627266e-01j), (4.481957818181927511e-01-1.551861156922024199e-01j), (1.396284382978115468e-01-2.216855034045010220e-01j), (8.015438284864617735e-02-1.726357110922701610e-01j), (2.645746911204740481e-01+1.621854470928594250e-01j), (-1.782762887754416603e-01+4.614220155983184135e-01j), (4.280080347679482422e-02-2.025834044912339649e-01j), (2.492687088474856288e-02-8.616306156059722055e-02j), (3.456450262689855779e-02-3.407098114208848005e-02j), (3.143777804074486537e-02+1.135912962895169603e-01j), (-1.429872517761175948e-03-5.034702041457211896e-02j), (6.873133853145138583e-02-1.530431113206637619e-02j)
 (-1.527410970106815036e-01-2.220262278025865454e-01j), (-4.299632047195157125e-01-3.491346483018605840e-01j), (-1.772781044765051328e-01+1.569347946142056471e-02j), (6.041179069589942829e-02-5.193539453931538680e-03j), (4.796830816300139411e-01-9.859869520212204141e-02j), (2.126718164053956195e-01+7.478454027385020297e-02j), (-2.046928737836276602e-01+2.887276355291324981e-01j), (-1.000156608840090111e-01+1.590733925759487133e-01j), (-1.001668399633524054e-01-5.515038146290859866e-02j), (-2.479819221650608058e-02-3.152934290973072318e-02j), (-9.011398702046469200e-02-1.329550342544931485e-02j), (-4.766718039555317699e-02-2.673718152533990922e-02j)
 (7.306767889434703789e-02-1.993724452052463569e-01j), (-3.219221430830107034e-01+3.618456741061768511e-01j), (1.810715337505972716e-02+2.389023298307407783e-01j), (1.776855178444275984e-01-9.435054865499409998e-03j), (-4.669285563702283426e-01+3.476322553854788860e-02j), (1.988570005559367471e-03-2.619127300762633670e-01j), (8.376045204424836799e-02-1.381298067811741193e-01j), (1.418018811672564286e-03-8.508932473407260222e-02j), (1.642879009265027501e-01+7.370545425776464654e-02j), (-3.102478116412219628e-02-1.288391626903650500e-01j), (5.079725514684460541e-02+6.191965320443983123e-02j), (1.509641305223821846e-02+3.489625180502402974e-02j)
 (3.064458775370114130e-01-4.309990867308684248e-02j), (6.559685161663715292e-01+3.557759779345932849e-02j), (2.251273444654530997e-01-2.401215191320175135e-01j), (-4.340351783016826309e-02+1.427091891206558327e-01j), (-9.711842334225340156e-02+2.230227765497161674e-01j), (-1.414291578941909155e-01+6.917522562880333570e-02j), (6.480061899096632716e-02-8.729036367666047347e-02j), (2.116865899360165226e-01+4.903092919328858740e-02j), (-1.507259194513861922e-01+1.138700019675755043e-01j), (2.195254536099880416e-04+8.062730301196366356e-02j), (1.670675390877568792e-02-1.543700217713719382e-02j), (-6.274715168377326124e-03-3.118588614312924404e-02j)
 (5.358061747951305132e-02+3.726270975336795632e-01j), (-4.987244509909825874e-02-5.564850386597729459e-01j), (-2.234840244987223445e-01-1.654843754823855789e-03j), (9.142986822014999293e-02+4.791613263449789190e-02j), (6.271733871733231602e-01-3.441239917176032170e-01j), (5.562289960249199722e-02-2.622061767978687286e-01j), (-1.257490913690355594e-01+6.008223541006634666e-02j), (-1.841569665226236996e-01-5.703290811123493120e-02j), (1.258803203189305941e-01-2.202629900545197694e-01j), (-5.777513219637295944e-03+8.950751217314962746e-03j), (-2.195470938464361144e-02-1.051343349587311078e-02j), (-1.501103182129698288e-02+4.535332344475850180e-02j)
 (-3.523517033375180296e-01+3.650070087659348234e-02j), (-3.627630607820788722e-01+4.722314809889191500e-01j), (1.569104171510824625e-03+1.835049748434200989e-01j), (-4.294376394816115106e-01+6.512287409918514347e-02j), (-6.549760362772595323e-01+5.846764559957673413e-02j), (-5.485095189302519741e-02+3.387743405544359487e-01j), (7.201914017256103029e-02+2.153055250542904586e-01j), (3.150934114084712190e-02+2.490681920088660961e-02j), (-1.539438881920958749e-03+1.725038580083163575e-01j), (-7.340626318018093031e-03+4.099051953899113254e-02j), (2.750806640644048832e-03-5.219276418791891914e-02j), (5.804495031533822569e-02-1.829463333736834965e-02j)
 (-7.490629318500430234e-02-3.317864683094849387e-01j), (-2.195814789689112811e-02-2.349019455275258572e-02j), (7.875255965955073323e-02-9.082978386848826469e-02j), (1.892126999061187198e-01-2.127122115619101417e-01j), (8.845405345837589750e-02+4.293020138656104545e-01j), (1.731526639169754800e-01-7.480207426872587106e-02j), (1.537481927248956493e-01-4.204779264292500818e-01j), (7.575345112941647696e-02-1.083945594209864971e-01j), (-7.799054843299933759e-02-1.625653959646138902e-01j), (4.047157008806935574e-02-2.542221918208884684e-03j), (3.635817086972240042e-02+1.045088787179555140e-01j), (-4.438469447663687117e-02-3.953235177399828937e-02j)
